Descripcion;Colección;Prefijo_Coleccion;Codigo_Producto;SKU;Foto_Comodin_Coleccion;Foto_Real_Codigo_Producto;Precio_EUR;Precio_COP;Multiplicador
;GAROFANO ROSA;GP;008;GP008;Garofano_Rosa.png;008.jpg;EUR 44,72;COP 563.472;
;GAROFANO LAVI;GL;008;GL008;Garofano_Lavi.png;008.jpg;EUR 44,72;COP 563.472;
;ROSSO E ORO;GRG;008;GRG008;Rosso_E_Oro.png;008.jpg;EUR 49,19;COP 619.819;
;AVORIO E ORO;GIG;008;GIG008;Avorio_E_Oro.png;008.jpg;EUR 49,19;COP 619.819;
Jug 1.00;GIALLO FIORE;GF;009;GF009;Giallo_Fiore.png;009.jpg;EUR 35,34;COP 445.334;
;BIANCO FIORE;BF;009;BF009;Bianco_Fiore.png;009.jpg;EUR 35,34;COP 445.334;
;MAZZETTO;MZ;009;MZ009;Mazzetto.png;009.jpg;EUR 38,23;COP 481.723;
;GAROFANO BLU;GB;009;GB009;Garofano_Blu.png;009.jpg;EUR 44,00;COP 554.400;
;GAROFANO IMOLA;GI;009;GI009;Garofano_Imola.png;009.jpg;EUR 52,66;COP 663.466;
;GAROFANO TIFFANY;GT;009;GT009;Garofano_Tiffany.png;009.jpg;EUR 52,66;COP 663.466;
;GAROFANO ROSA;GP;009;GP009;Garofano_Rosa.png;009.jpg;EUR 52,66;COP 663.466;
;GAROFANO LAVI;GL;009;GL009;Garofano_Lavi.png;009.jpg;EUR 52,66;COP 663.466;
;ROSSO E ORO;GRG;009;GRG009;Rosso_E_Oro.png;009.jpg;EUR 57,92;COP 729.812;
;AVORIO E ORO;GIG;009;GIG009;Avorio_E_Oro.png;009.jpg;EUR 57,92;COP 729.812;
Jug 1.50;GIALLO FIORE;GF;010;GF010;Giallo_Fiore.png;010.jpg;EUR 38,23;COP 481.723;
;BIANCO FIORE;BF;010;BF010;Bianco_Fiore.png;010.jpg;EUR 38,23;COP 481.723;
;MAZZETTO;MZ;010;MZ010;Mazzetto.png;010.jpg;EUR 41,84;COP 527.184;
;GAROFANO BLU;GB;010;GB010;Garofano_Blu.png;010.jpg;EUR 47,61;COP 599.861;
;GAROFANO IMOLA;GI;010;GI010;Garofano_Imola.png;010.jpg;EUR 56,26;COP 708.926;
;GAROFANO TIFFANY;GT;010;GT010;Garofano_Tiffany.png;010.jpg;EUR 56,26;COP 708.926;
;GAROFANO ROSA;GP;010;GP010;Garofano_Rosa.png;010.jpg;EUR 56,26;COP 708.926;
;GAROFANO LAVI;GL;010;GL010;Garofano_Lavi.png;010.jpg;EUR 56,26;COP 708.926;
;ROSSO E ORO;GRG;010;GRG010;Rosso_E_Oro.png;010.jpg;EUR 61,89;COP 779.819;
;AVORIO E ORO;GIG;010;GIG010;Avorio_E_Oro.png;010.jpg;EUR 61,89;COP 779.819;
Jug 2.00;GIALLO FIORE;GF;011;GF011;Giallo_Fiore.png;011.jpg;EUR 42,56;COP 536.256;
;BIANCO FIORE;BF;011;BF011;Bianco_Fiore.png;011.jpg;EUR 42,56;COP 536.256;
;MAZZETTO;MZ;011;MZ011;Mazzetto.png;011.jpg;EUR 44,72;COP 563.472;
;GAROFANO BLU;GB;011;GB011;Garofano_Blu.png;011.jpg;EUR 50,49;COP 636.149;
;GAROFANO IMOLA;GI;011;GI011;Garofano_Imola.png;011.jpg;EUR 59,87;COP 754.387;
;GAROFANO TIFFANY;GT;011;GT011;Garofano_Tiffany.png;011.jpg;EUR 59,87;COP 754.387;
;GAROFANO ROSA;GP;011;GP011;Garofano_Rosa.png;011.jpg;EUR 59,87;COP 754.387;
;GAROFANO LAVI;GL;011;GL011;Garofano_Lavi.png;011.jpg;EUR 59,87;COP 754.387;
;ROSSO E ORO;GRG;011;GRG011;Rosso_E_Oro.png;011.jpg;EUR 65,86;COP 829.826;
;AVORIO E ORO;GIG;011;GIG011;Avorio_E_Oro.png;011.jpg;EUR 65,86;COP 829.826;
Coffee pot x 6;GIALLO FIORE;GF;016;GF016;Giallo_Fiore.png;016.jpg;EUR 59,14;COP 745.214;
;BIANCO FIORE;BF;016;BF016;Bianco_Fiore.png;016.jpg;EUR 59,14;COP 745.214;
;MAZZETTO;MZ;016;MZ016;Mazzetto.png;016.jpg;EUR 62,03;COP 781.603;
